id,question/stem,question/choices/0/text,question/choices/0/label,question/choices/1/text,question/choices/1/label,question/choices/2/text,question/choices/2/label,question/choices/3/text,question/choices/3/label,answerKey
Mercury_7241063,Which factor determines if two individuals are members of the same species?,They live in the same habitat and niche.,A,They forage and eat the same type of food.,B,They mate and produce fertile offspring.,C,They are similar in appearance and color.,D,C
MCAS_2010_8_12015,Which of the following planets is always closer to the Sun than it is to Earth?,Jupiter,A,Mercury,B,Saturn,C,Uranus,D,B
Mercury_7168350,Cells need nutrients for energy. Which system is responsible for breaking down food to provide cellular energy?,digestive,A,excretory,B,circulatory,C,respiratory,D,A
Mercury_SC_402980,During which activity should a student wear goggles?,writing a science report,A,mixing baking soda with water,B,measuring the length of a shadow,C,examining a leaf with a microscope,D,B
Mercury_417126,Bacillus thuringiensis (Bt) is a soil bacterium that is toxic to certain insects. Genes from this bacterium have been inserted into cotton to make Bt cotton. Farmers that use Bt cotton would most likely use less of which of the following?,water,A,fertilizer,B,herbicide,C,insecticide,D,D
NYSEDREGENTS_2010_8_2,A student examined a rock sample and described it as having particles of various colors that were 1 millimeter to 12 millimeters in size. The student was making,an inference,1,a hypothesis,2,a prediction,3,an observation,4,4
NYSEDREGENTS_2010_8_13,What are genes composed of?,offspring,1,DNA,2,cells,3,traits,4,2
Mercury_177223,"In a classroom demonstration, a teacher pours sulfuric acid on some granulated sugar in a beaker. The sugar turns yellow and then black. Smoke rises and a strong smell is released. This demonstration is an example of what kind of change?",chemical,A,physical,B,magnetic,C,electric,D,A
Mercury_7200533,Marta studied different forms of energy. Which two types of energy travel in waves?,light and sound,A,electrical and sound,B,chemical and light,C,chemical and electrical,D,A
Mercury_SC_400707,"The tops of some mountains are sharp and pointed, while the tops of others are smooth and rounded. This difference was most likely caused by",rivers flooding along a coastal plain.,A,erosion and weathering.,B,earthquakes and waves.,C,rocks melted underground by lava.,D,B
Mercury_SC_400380,A student suggests to the school board that they use a renewable energy source. The student suggests they use,coal.,A,wind.,B,wood.,C,natural gas.,D,B
Mercury_7205590,Solar radiation provides more heat near the equator than near the poles on Earth. The greatest amount of heat is moved away from the equator by,ocean currents.,A,aquatic plants.,B,surface winds.,C,tectonic plates.,D,A
NYSEDREGENTS_2015_4_30,Which human activity will help conserve Earth's natural resources?,leaving the television on all day,A,recycling plastic bottles,B,cutting down trees,C,burning trash in the yard,D,B
NYSEDREGENTS_2012_4_17,Which characteristic helps some animals defend themselves against predators?,strong odor,A,poor hearing,B,weak eyesight,C,shivering,D,A
VASoL_2008_3_5,Most plants begin their life cycle as ___.,leaves,A,flowers,B,roots,C,seeds,D,D
Mercury_SC_415390,"Erin wants to make a strong, light chair. Which natural material should she use?",iron,A,granite,B,clay,C,wood,D,D
Mercury_SC_408436,Jonathon was studying bears. He found out that bears are born with some behaviors and learn others from their environment. Which behavior does a bear most likely inherit?,how to find food in garbage cans,A,how to hibernate during the winter,B,how to seek shelter in a hollow log,C,how to live in human neighborhoods,D,B
Mercury_SC_401143,A group of the same species of fish swim together to increase an individual's,swimming speed.,A,body temperature.,B,chance of survival.,C,visibility to predators.,D,C
LEAP_2005_8_10403,"In the oxygen cycle, which group of organisms replenishes a large portion of the atmospheric oxygen supply?",mammals,A,fungi,B,insects,C,plants,D,D
Mercury_7108045,"Some antibiotics used to treat infections in humans are also used to treat chickens, but some groups oppose this practice. The overuse of the antibiotics will most likely influence the natural selection of which type of organisms?",chickens that naturally make the antibiotics,A,microbes that are resistant to the antibiotics,B,microbes that are susceptible to the antibiotics,C,chickens that are resistant to infection,D,B
Mercury_SC_402251,A student performs a lab investigation by measuring the average time it takes for a toy car to travel 10 meters. Why is it best to perform the experiment in three trials?,to form a good hypothesis,A,to increase the accuracy of the results,B,to make the results more significant,C,to better explain the investigation to others,D,B
Mercury_7071418,A scientist finds a metamorphic rock formation next to a magma chamber and determines that it was originally a sedimentary rock formation. He concludes that the temperature of the magma chamber caused the rock formation to become metamorphic. Which is another reliable explanation of how the rock formation was changed?,weight of heavy machinery moving over the rocks,A,pressure on the rock formation inside Earth,B,a sandstorm that caused the rocks to be eroded,C,a quick burial of the rocks by tons of volcanic ash,D,B
Mercury_SC_407370,Earth orbiting the Sun causes,the changing of the seasons.,A,daily tidal cycles.,B,day to become night.,C,the phases of the Moon.,D,A
Mercury_7084595,The cycle of night and day on Earth is a result of,the Moon revolving around Earth.,A,Earth revolving around the Sun.,B,the Moon rotating on its axis.,C,Earth rotating on its axis.,D,D
Mercury_7041335,Which of these traits is most influenced by environment?,weight,A,hair color,B,blood type,C,handedness,D,A
Mercury_7236320,Which statement describes a characteristic of a gas that has a significant effect on the climates of both Earth and Venus?,Nitrogen is chemically inert.,A,Sodium vapor reflects solar energy.,B,Carbon dioxide traps solar energy.,C,Argon is unable to react with water.,D,C
LEAP__5_10308,DNA technology has improved greatly in the last twenty years. Which task has been made easier by the development of DNA technology?,identifying genetic disorders,A,determining the parts of an atom,B,observing distant objects in space,C,making very accurate measurements,D,A
Mercury_7068425,Which condition is necessary for metamorphic rocks to form?,constant weathering and erosion,A,extreme pressure and heating,B,rapid burial of sediments,C,slow cooling of magma,D,B
Mercury_SC_401308,Which event helps to renew a resource?,A seed is planted from a tree.,A,An offshore rig pumps oil.,B,A car is filled with gasoline.,C,An office is heated with coal.,D,A
NYSEDREGENTS_2008_4_18,Which part of a plant takes in water and nutrients from the soil?,root,A,stem,B,flower,C,leaf,D,A
Mercury_7165550,A certain type of hybrid car utilizes a braking system in which energy is recovered and stored in batteries. This is an example of which type of energy conversion?,kinetic energy converted to potential energy,A,chemical energy converted to kinetic energy,B,chemical energy converted to thermal energy,C,thermal energy converted to potential energy,D,A
Mercury_7114923,Clownfish take shelter in the tentacles of sea anemones and keep sea anemones clean. Which type of relationship does this represent?,parasitism,A,commensalism,B,mutualism,C,neutralism,D,C
Mercury_SC_408434,Some animals have behaviors that help them find food when little is available. Which best describes an animal with this type of behavior?,a robin that builds a nest,A,an owl that calls at night,B,a duck that swims in water,C,a goose that migrates in winter,D,D
Mercury_7008453,Part of a student's experiment is to measure changes in wind speed several hours before a storm. What piece of equipment should the student use?,barometer,A,hygrometer,B,anemometer,C,weather vane,D,C
NYSEDREGENTS_2010_8_14,An organism is born with a genetic abnormality not present in any of its ancestors. This abnormality is most likely the result of,circulation,1,competition,2,mutation,3,respiration,4,3
NYSEDREGENTS_2015_8_24,The length of one day on Earth is determined by how long it takes,the Moon to revolve once,1,the Moon to rotate once,2,Earth to rotate once,3,Earth to revolve once,4,3
NYSEDREGENTS_2008_4_6,"When a rock is placed in a graduated cylinder containing water, the height of the water will",decrease,A,increase,B,remain the same,C,,,B
Mercury_400279,"A student heats the same amount of two different liquids over Bunsen burners. Each liquid is at room temperature when the student begins. If liquid 1 has a higher specific heat than liquid 2, then liquid 1 will",evaporate sooner.,A,take longer to increase in temperature.,B,condense over a longer period.,C,chemically break down at a faster rate.,D,B
Mercury_7092190,Through which activity do animals get the carbon that is needed for their bodies?,eating,A,breathing,B,running,C,sleeping,D,A
Mercury_7113890,Scientists have discovered organisms that thrive in hot water that is 90Â°C (194Â°F) and do not need sunlight or oxygen to live. Into which kingdom would the scientists classify these organisms?,Archaebacteria,A,Fungi,B,Plantae,C,Protista,D,A
TAKS_2009_8_17,A cook touches a hot stove and quickly moves his hand away. What are the two primary body systems that work together to produce this response?,Integumentary and endocrine systems,A,Muscular and respiratory systems,B,Nervous and muscular systems,C,Skeletal and nervous systems,D,C
AKDE&ED_2008_4_3,Which statement correctly describes both gases and liquids?,Their shapes stay the same in any container.,A,Their shapes change when they are in different containers.,B,Their volumes stay the same in any container.,C,Their volumes change when they are in different containers.,D,B
Mercury_7202353,"When the soil is saturated, earthworms move to the top of the soil to obtain oxygen. This behavior is evidence of which biological concept in earthworms?",learned behavior,A,migration instinct,B,response to stimuli,C,reproductive strategy,D,C
MCAS_2006_9_14,Which of the following is more likely to occur in a plant cell than in an animal cell?,synthesis of enzymes,A,formation of cellulose,B,breakdown of glucose,C,active transport of ions,D,B
MSA_2015_5_37,Earth revolves around the sun. The amount of time needed for Earth to complete one revolution around the sun is approximately,1 day,A,28 days,B,180 days,C,365 days,D,D
MDSA_2010_8_22,"Excess nitrogen fertilizers sometimes drain into waterways that flow into the Chesapeake Bay. This nitrogen may cause algae blooms, which reduce dissolved oxygen in the water. How does nitrogen negatively affect the Chesapeake Bay?",fish births increase,A,fish populations decrease,B,sediment on the bottom of the bay decreases,C,the rate of water runoff into the bay increases,D,B
MCAS_1999_4_4,"Mount Arenal, a volcano in Costa Rica, is erupting. Heat is being released during the eruption. What is the source of the heat?",The heat comes from the Sun.,A,The heat comes from pools of underground water.,B,The heat comes from deep within Earth.,C,The heat comes from decaying plants and animals.,D,C
Mercury_7247923,Which statement describes how the umbilical cord supports a developing fetus?,It provides a protective barrier between the mother and the fetus.,A,It keeps the fetus inside the mother until birth.,B,It provides a navel when the baby is born.,C,It supplies oxygen and nutrients to the fetus.,D,D
Mercury_SC_416124,Which two human body systems are most responsible for getting oxygen to cells?,digestive and skeletal,A,skeletal and circulatory,B,circulatory and respiratory,C,respiratory and digestive,D,C
Mercury_407530,"In their science classroom, Sam and Julia cross a heterozygous tall (Tt) pea plant with a homozygous short (tt) pea plant. What ratio represents the results Sam and Julia can expect?",1 tall plant to 3 short plants,A,2 tall plants to 2 short plants,B,3 tall plants to 1 short plant,C,4 tall plants to 0 short plants,D,B
Mercury_7271740,"When atmospheric carbon dioxide increases, some of the carbon dioxide dissolves in the ocean causing the ocean to become",warmer.,A,cooler.,B,more acidic.,C,more alkaline.,D,C
Mercury_7026495,"Over time, dried lava from an old volcano is worn down and broken into small pieces. When these pieces pile up and are cemented together to form new rock, how would this new rock be classified?",magma,A,igneous,B,sedimentary,C,metamorphic,D,C
Mercury_7084315,"When potassium and bromine atoms form chemical bonds, which of these is produced?",an element,A,a mixture,B,a compound,C,a new form of matter,D,C
TIMSS_2011_4_pg51,How often does Earth rotate on its axis?,once every 12 hours,A,once every 24 hours,B,once every month,C,once every year,D,B
Mercury_7081148,The elements that make up the atmosphere of Earth can be listed as percentages or can be shown in a graph. Which type of graph would best show this information?,a bar graph,A,a pie chart,B,a line graph,C,a scatterplot,D,B
Mercury_SC_400040,Animals give off carbon dioxide that plants take in through leaves. What do plants give off as a result of photosynthesis that animals need to breathe?,heat,A,oxygen,B,protein,C,water,D,B
ACTAAP_2010_7_10,Air is composed of many different substances. Which of the following components of air is a compound rather than an element?,"Argon, Ar",A,"Oxygen, O2",B,"Water, H2O",C,"Nitrogen, N2",D,C
ACTAAP_2013_7_4,Which factor is responsible for the presence of equatorial deserts?,global warming,A,asteroid impacts,B,tilt of the Earth's axis,C,the solar activity cycle,D,C
Mercury_SC_405444,"The ash borer moth looks similar to a wasp, but it does not have the ability to sting. This adaptation most likely helps the moth survive because",it makes food easier to find.,A,predators avoid the moth.,B,it aids in attracting a mate.,C,the moth blends in with its surroundings.,D,B
Mercury_7213675,"Which organ system communicates with cells in muscle tissue so that the muscles contract or relax, allowing the body to move?",circulatory system,A,nervous system,B,respiratory system,C,excretory system,D,B
MEA_2010_8_15-v1,Which device produces mechanical energy?,a battery,A,an electric motor,B,a light bulb,C,a solar cooker,D,B
Mercury_7094675,A beach is formed when sediment is deposited along a shoreline. What would most likely happen if rivers that empty into the ocean were dammed?,Less sediment would be deposited along the shoreline.,A,Beaches would form from different materials.,B,Sand dunes would become smaller.,C,Deltas would become larger.,D,A
Mercury_403912,"Due to extreme pressure, the inner core of Earth is",solid.,A,liquid.,B,gas.,C,plasma.,D,A
Mercury_7009853,The speed and general direction of motion of a galaxy relative to the Earth can be determined by,measuring its red shift.,A,the gravity it exerts.,B,contrasting it against nearby stars.,C,observing its motion across the sky.,D,A
Mercury_SC_LBS10020,What are the three common states of matter?,"liquid, gas, vapor",A,"gas, liquid, fluid",B,"solid, gas, liquid",C,"solid, vapor, liquid",D,C
MEA_2013_8_2,What is the primary reason for breaking down food molecules?,to absorb water into a cell,A,to provide energy for a cell,B,to remove wastes from a cell,C,to store materials in a cell,D,B
Mercury_7068688,Topsoil is considered to be most fertile when it has a,low pH level.,A,low sand content.,B,high organic matter level.,C,high parent rock material level.,D,C
Mercury_7271705,"When chemicals in the atmosphere dissolve in water droplets, they precipitate with the water and pollute water reservoirs on Earth. The pollutants enter the food chain when aquatic organisms absorb them. Which of these pollutants eventually contaminates fish after coal is burned?",lead,A,arsenic,B,mercury,C,aluminum,D,C
Mercury_402456,An atom has a mass of 24 and a nuclear charge of 12. Which statement about the atom is accurate?,It has twice as many protons as electrons.,A,It has twice as many neutrons as protons.,B,It has equal numbers of neutrons and protons.,C,It has equal numbers of nuclear particles and electrons.,D,C
NCEOGA_2013_8_6,Which is an example of a renewable energy resource?,biomass,A,coal,B,gas,C,oil,D,A
Mercury_7230178,The compression of matter due to gravitational attraction increased as the protoplanets formed. What was a result of this compression within each protoplanet?,initiation of nuclear fusion,A,increase in noble gas destabilization,B,increase in thermal energy,C,initiation of photosynthesis reactions,D,C
Mercury_7215233,The construction of Hoover Dam on the Colorado River resulted in abundant freshwater and electrical power for the region. Which of these is a disadvantage of the construction of Hoover Dam?,an increase in flooding downstream,A,an increase in regional humidity,B,a decrease in the amount of river ecosystems,C,a decrease in the amount of water for irrigation,D,C
Mercury_SC_415535,"If you place a thermometer into a glass of boiling water, what temperature should the thermometer read?",32Â°C,A,100Â°C,B,200Â°C,C,212Â°C,D,B
CSZ_2008_8_29,What characteristic of carbon [C] makes it essential to living organisms?,Carbon forms crystal structures under certain conditions.,A,"Carbon can exist as a solid, liquid, or gas.",B,Carbon bonds in many ways with itself to form chains.,C,Carbon exists in radioactive forms.,D,C
MSA_2012_5_28,Scientists found evidence of a fish that lived millions of years ago. The fish had features that were possibly used to move on land. This fish is now extinct. What scientific evidence did the scientists most likely find that confirmed the existence of this fish?,a fossil,A,a description,B,a photograph,C,a cave drawing,D,A
MCAS_2010_8_12008,What is the smallest unit of a chemical compound that still has the properties of that compound?,a nucleus,A,a molecule,B,an element,C,an atom,D,B
Mercury_SC_406724,A student is investigating in which type of soil a plant will grow best. Which should the student measure to answer the question?,height of the plants,A,weight of the soil,B,amount of water used,C,temperature of the room,D,A
TIMSS_2007_8_pg33,An animal has scales and uses only its lungs to exchange gases. What is the animal most likely to be classified as?,a fish,A,a reptile,B,a mammal,C,an amphibian,D,B
Mercury_7004988,How are igneous and sedimentary rocks similar?,They are both formed by erosion.,A,They are both formed from cooled lava.,B,Heat and pressure can turn them into lava.,C,Heat and pressure can turn them into metamorphic rock.,D,D
Mercury_SC_LBS10946,"When both a dominant and recessive gene are present, which of the following is true?",The dominant trait will be visible.,A,The recessive trait will be visible.,B,Neither trait will be visible.,C,It cannot be predicted which trait will be visible.,D,A
TAKS_2009_8_39,Squirrels in cold climates gather and store food for winter. The squirrels sometimes bury nuts and then do not return for them. These nuts can grow to become trees. This chain of events is an example of,predation,A,seed distribution,B,competition,C,seed fossilization,D,B
Mercury_SC_408357,Kurt drinks frozen fruit juice from a small cup. He measures the amount of fruit juice in the cup. Which property is Kurt measuring?,density,A,height,B,temperature,C,volume,D,D
Mercury_178710,A simple machine that has a mechanical advantage equal to 1 would most likely be used to,decrease effort.,A,decrease work.,B,change direction.,C,change resistance.,D,C
Mercury_410598,"Roberto is sliding down a plastic slide on the playground. After he reaches the ground, he feels a small electric shock when he touches a piece of metal. What has been built up on his body that causes the shock?",atoms,A,electrons,B,neutrons,C,protons,D,B
TIMSS_2011_4_pg15,Plants grow best in soils that are rich in which of the following?,grains of sand,A,lumps of clay,B,layers of gravel,C,decaying plants and animals,D,D
Mercury_7217088,The rate of acceleration of an object is determined by the mass of the object and,the initial velocity of the object.,A,the forces acting on the object.,B,the direction of movement of the object.,C,the change in kinetic energy of the object.,D,B
Mercury_7143360,Some aquifers are composed of limestone and dolomite. Which process increases the open spaces of the aquifer formation?,wave action,A,wind erosion,B,tensional faulting,C,chemical weathering,D,D
MCAS_2012_8_23645,Leather basketballs are made for indoor use on smooth surfaces. Rubber basketballs are made for use on many different surfaces. Which of the following properties of rubber makes it better than leather for use on many different surfaces?,Rubber is durable.,A,Rubber is lightweight.,B,Rubber is dark in color.,C,Rubber is quickly produced.,D,A
LEAP__4_10228,"On a field trip in a wooded area, you see a small, strange object. You wonder whether it is a live animal. The best way to find out is to observe the object to see if it",has an odor.,A,has separate parts.,B,can make a noise and has a lifelike color.,C,carries out basic life functions.,D,D
